"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
113.0,"0xdaabbb932725cc1b3ca487ee174b59cbd6b0ec98",39.59505386348802,99.99756495218284,15.0,2.0,277.0
114.0,"0xb1b7586656116d546033e3baff69bfcd6592225e",39.39583944540421,99.99754321068447,15.0,51.0,377.0
115.0,"0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a",39.32083786342182,99.9975214691861,11.0,36.0,213.0
116.0,"0x77d4d7ed546b19077720eda2be8c847a1c358125",39.25780418020043,99.99749972768774,28.0,0.0,276.0
117.0,"0xaa3e5ee4fdc831e5274fe7836c95d670dc2502e6",39.102809254994206,99.99747798618937,1.0,108.0,1.0
118.0,"0x1c85d6ae1336d0e4e3f165bbfa9641bfa04cedb1",38.91383447849449,99.997456244691,37.0,0.0,317.0
119.0,"0x171814db6dcaa27d2f88b1d31e306abda53e7526",38.86736016766593,99.99743450319262,27.0,0.0,451.0
120.0,"0xdd45ca901067d65860b54d4310e37371cd92fb09",38.59604335251562,99.99741276169426,24.0,0.0,349.0
121.0,"0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b",38.49788091223072,99.99739102019589,27.0,3.0,449.0
122.0,"0x0749d1abb5ca9128432b612644c0ea1e9c6cc9af",38.374006312755434,99.99736927869752,3.0,0.0,355.0
123.0,"0xe12305a06ecfc570c4e9ee664fb7e22901b3b842",38.13758034273025,99.99734753719916,1.0,91.0,1.0
124.0,"0x606d9835c14617458e48530b1ed4b450c7ed9386",38.10734863752315,99.9973257957008,1.0,204.0,1.0
125.0,"J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK",37.93650518979181,99.99730405420243,2.0,54.0,368.0
126.0,"0x413a9c69df59288ef9a7ebe78a2033dd2f3e1af3",37.851280822730246,99.99728231270406,11.0,0.0,276.0
127.0,"0x13dda63c28bb95fe9822fea43ad5feaa966636a9",37.620416658323045,99.99726057120569,27.0,0.0,251.0
128.0,"0x3dbadc86d19416ec16d81aa07ff2609e6241e7e9",37.439159323852834,99.99723882970733,25.0,0.0,333.0
129.0,"0xda516f0903fc91e3ae198f8f58ab8f83cbdfbe8a",37.437998094203614,99.99721708820896,9.0,0.0,422.0
130.0,"0xfe4c4a27bed5e9113480c84a177068f7421a1eb7",37.37006074785118,99.99719534671058,27.0,0.0,300.0
131.0,"0x529408a6962bae6ca5328874d633738116b89b05",37.12345778321643,99.99717360521223,38.0,2.0,253.0
132.0,"0xd7b26011e6eb5857a6251da1f77e9f3d8aac4489",36.92568839105018,99.99715186371385,32.0,0.0,230.0
133.0,"0x76da9f88e63a85ba8bfa19f3821d5a271753d3dc",36.86781195149629,99.99713012221548,81.0,0.0,428.0
134.0,"0xbe533f7b30e2283b50e2d5fd3e2dba765c2fb013",36.78389304177513,99.99710838071711,14.0,0.0,380.0
135.0,"AuZKZgDhbZPmfhbksUBD1ZBZqZTJeozRRcJmvSdKjT4f",36.64270230084766,99.99708663921875,1.0,5.0,279.0
136.0,"0xe76be9c1e10910d6bc6b63d8031729747910c2f6",36.529297792258184,99.99706489772038,25.0,64.0,231.0
137.0,"0x51cb9d27b98a84318859704c1af63088ab86592e",36.40049202893852,99.997043156222,27.0,2.0,454.0
138.0,"0x24f15402c6bb870554489b2fd2049a85d75b982f",36.14045281443917,99.99702141472365,21.0,75.0,78.0
139.0,"0xc2971fe806ce4438da09e21fc7be7fb121cf7e13",36.13590694401228,99.99699967322529,2.0,70.0,161.0
140.0,"0x766c64d809056fbb492fdb410a6b4857c015619a",36.127873982541786,99.99697793172692,15.0,0.0,299.0
141.0,"0x696d181a7961ee66c42f1ebeddc0b48b106c45ad",36.03793866034583,99.99695619022854,32.0,2.0,305.0
142.0,"0x3f7bed3d5745c2550f64aa97a4529406e555bce6",35.798007477087445,99.99693444873017,25.0,0.0,335.0
143.0,"0xdcad95c9894d80fb30817f59e7619fd9128f64d1",35.797854756834866,99.99691270723181,37.0,0.0,409.0
144.0,"0xbb8fb8fe5198f25d117c0e7b1b9c8260cb19c3c0",35.61979547286491,99.99689096573344,29.0,0.0,347.0
